Число слов;Число символов;Число уникальных слов;Число клауз;Число предложений;Число знаков препинания;Средняя длина предложения (в количестве слов);Число уникальных слов / Число слов;Число знаков пунктуации / Число слов;Тональность слов (по округленным значениям);Тональность слов (по усредненным значениям);Максимальная глубина синтаксического дерева;Минимальная глубина синтаксического дерева;Средняя глубина синтаксического дерева;Число отрицательных приставок и форм (не,ни,бес,без) / Число слов;Средняя длина слов (в количестве символов);Доля прописных символов;Число восклицательных знаков / Число предложений;Доля инфинитивов;Доля глаголов прошедшего времени;Причастия + деепричастия / Число предложений;Доля глаголов 1 лица;Доля глаголов 2 лица;Доля глаголов 3 лица;Доля глаголов прошедшего времени, первого лица, единственного числа;Доля местоимений 1 лица;Доля местоимений 2 лица;Доля местоимений 3 лица;Доля местоимений 1 лица мн. числа;Доля местоимений 1 лица ед. числа;Коэффициент Трейгера;Коэффициент логической связности;Коэффициент опредмеченности действия (кол. глаголов / кол. существительных);Словарь: Лексика страдания;Словарь: Тематическая_Власти;Словарь: Лексика положительной эмоциональной оценки;Словарь: Безысключительная и усилительная лексика;Словарь: Обсценная лексика;Словарь: Мягкие инвективы;Словарь: Лексика положительной рациональной оценки и ментальных действий;Словарь: Социальное неравенство и несправедливость;Словарь: Тематическая_Демография и экология;Словарь: Инвективы;Словарь: Лексика разрушения и насилия;Словарь: Тематическая_ЖКХ;Словарь: Уголовный жаргон;Словарь: Компьютерный жаргон;Словарь: Отрицательные стеничные эмоции;Словарь: Национальные отношения;Словарь: Лексика мотивации, деятельности и напряжения;Словарь: Тематическая_Преступность;Словарь: Лексика отрицательной рациональной оценки;Словарь: Лексика социального разобщения;Словарь: Тематическая_Дети и образование;Словарь: Тематическая_Протест;Словарь: Прецедентные, архаизмы, междометия и др.;Словарь: Молодежный жаргон;Словарь: Канцеляризмы;Словарь: Тематическая_Экономика;Словарь: Тематическая_Силовые структуры;Словарь: Катастрофы;Словарь: Лексика сопротивления;Словарь: Тематическая_Здравоохранение;Часть речи: прилагательное;Часть речи: наречие;Часть речи: местоименное наречие;Часть речи: числительное-прилагательное;Часть речи: местоимение-прилагательное;Часть речи: часть композита - сложного слова;Часть речи: союз;Часть речи: междометие;Часть речи: числительное;Часть речи: частица;Часть речи: предлог;Часть речи: существительное;Часть речи: местоимение-существительное;Часть речи: глагол;Сем. роль: аблатив;Сем. роль: абстинатив;Сем. роль: авторизатор;Сем. роль: агенс;Сем. роль: адресат;Сем. роль: владелец_инф;Сем. роль: вступление_в_соц_завис;Сем. роль: высший_предм_иерархии;Сем. роль: выход_из_соц_завис;Сем. роль: генератив;Сем. роль: дейст_в_мс_мод;Сем. роль: действие_в_фаз_модиф;Сем. роль: делибератив;Сем. роль: дестинатив;Сем. роль: деструктив;Сем. роль: дименсив;Сем. роль: директив;Сем. роль: дистрибутив;Сем. роль: длительность;Сем. роль: донор;Сем. роль: допол_частью_целое;Сем. роль: замещенный_предмет;Сем. роль: инструментив;Сем. роль: интенсив;Сем. роль: интерпрет_понятия;Сем. роль: источник_кауз_отн;Сем. роль: исходное_явление;Сем. роль: каузат;Сем. роль: каузатив;Сем. роль: каузатор;Сем. роль: каузируемая_ассоциация;Сем. роль: квалитатив;Сем. роль: квантитатив;Сем. роль: класс;Сем. роль: класс_предм_в_комп_оцен_модели;Сем. роль: класс_предметов;Сем. роль: комитатив;Сем. роль: коррелятив;Сем. роль: критерий_оценки;Сем. роль: критерий_сравнения;Сем. роль: ликвидатив;Сем. роль: лимитатив;Сем. роль: лицо_соот;Сем. роль: локатив;Сем. роль: медиатив;Сем. роль: мод_каузатив;Сем. роль: объект;Сем. роль: объект_колич;Сем. роль: объект_орудие;Сем. роль: объект_соучаст;Сем. роль: объектив;Сем. роль: основание_квалификации;Сем. роль: основание_соответствие;Сем. роль: отпр_пред_соп;Сем. роль: отсут_признак;Сем. роль: оцениваемое_действие;Сем. роль: параметр;Сем. роль: партитив;Сем. роль: пациенс;Сем. роль: повод_делиберат;Сем. роль: положение_соц_завис;Сем. роль: посес_субъект-отправитель;Сем. роль: посессив;Сем. роль: потенсив;Сем. роль: предикат;Сем. роль: предм_вст_в_конт_прост_соот;Сем. роль: предм_пот_мод_оценки;Сем. роль: предмет_лок_столк;Сем. роль: предмет_обмена;Сем. роль: предмет_срав;Сем. роль: предпосылка;Сем. роль: предпредикат;Сем. роль: причинно_врем_обусл;Сем. роль: результат_соединения;Сем. роль: результатив;Сем. роль: репродуктив;Сем. роль: рубрикатив;Сем. роль: ситуатив;Сем. роль: соединение;Сем. роль: социальная_категория;Сем. роль: способ_действия;Сем. роль: субъект;Сем. роль: субъект_неакт_дейст;Сем. роль: субъект_соучаст;Сем. роль: сурсив;Сем. роль: тематив;Сем. роль: темпоратив;Сем. роль: транзитив;Сем. роль: трансгрессив;Сем. роль: фабрикатив;Сем. роль: фин_фаз_пол;Сем. роль: эстиматив;Сем. связь: ABL;Сем. связь: ABS;Сем. связь: ADR;Сем. связь: CAUS;Сем. связь: CMP;Сем. связь: COM;Сем. связь: COR;Сем. связь: DES;Сем. связь: DIR;Сем. связь: DIS;Сем. связь: DLB;Сем. связь: DST;Сем. связь: EQ;Сем. связь: FAB;Сем. связь: GEN;Сем. связь: INS;Сем. связь: LIM;Сем. связь: LIQ;Сем. связь: LOC;Сем. связь: MED;Сем. связь: OBJ;Сем. связь: PAR;Сем. связь: POS;Сем. связь: POT;Сем. связь: PRM;Сем. связь: PTN;Сем. связь: QLT;Сем. связь: QNT;Сем. связь: RSN;Сем. связь: SIT;Сем. связь: SUR;Сем. связь: TAR;Сем. связь: TMP;Сем. связь: TRA;Сем. связь: TRG;ID
183;801;108;34;14;30;13.071428571428571;0.5901639344262295;0.16393442622950818;-3;-2.4833333333333227;11;2;4.642857142857143;0.04371584699453552;4.377049180327869;0.017478152309612985;0.0;0.13157894736842105;0.8421052631578947;0.07142857142857142;0.02631578947368421;0.02631578947368421;0.02631578947368421;0.02631578947368421;0.42424242424242425;0.030303030303030304;0.12121212121212122;0.06060606060606061;0.36363636363636365;2.111111111111111;0.9047619047619048;0.6129032258064516;0.01092896174863388;0.0;0.09289617486338798;0.04371584699453552;0.0;0.0;0.12568306010928962;0.0;0.0;0.0;0.0;0.01092896174863388;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.03278688524590164;0.02185792349726776;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.00546448087431694;0.0;0.03825136612021858;0.07103825136612021;0.01092896174863388;0.0;0.060109289617486336;0.0;0.10382513661202186;0.0;0.01092896174863388;0.0546448087431694;0.10382513661202186;0.15846994535519127;0.18032786885245902;0.20765027322404372;0.0;0.0;0.00546448087431694;0.0;0.01639344262295082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01639344262295082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.0;0.0;0.0;0.0546448087431694;0.0;0.0;0.04918032786885246;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.09289617486338798;0.0;0.0;0.0;0.0;0.01639344262295082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.00546448087431694;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00546448087431694;0.0;0.01639344262295082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110
147;685;92;29;12;22;12.25;0.6258503401360545;0.14965986394557823;5;4.409523809523814;7;3;4.75;0.047619047619047616;4.659863945578231;0.017518248175182483;0.0;0.17142857142857143;0.8;0.16666666666666666;0.02857142857142857;0.0;0.0;0.02857142857142857;0.6666666666666666;0.0;0.25;0.125;0.5416666666666666;2.9166666666666665;0.8611111111111112;0.7608695652173914;0.013605442176870748;0.0;0.07482993197278912;0.047619047619047616;0.0;0.0;0.11564625850340136;0.0;0.02040816326530612;0.0;0.0;0.006802721088435374;0.0;0.0;0.0;0.0;0.006802721088435374;0.0;0.013605442176870748;0.006802721088435374;0.0;0.0;0.0;0.006802721088435374;0.0;0.0;0.0;0.0;0.0;0.0;0.027210884353741496;0.05442176870748299;0.04081632653061224;0.0;0.05442176870748299;0.0;0.11564625850340136;0.0;0.006802721088435374;0.05442176870748299;0.09523809523809523;0.14965986394557823;0.16326530612244897;0.23809523809523808;0.02040816326530612;0.0;0.0;0.0;0.006802721088435374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006802721088435374;0.0;0.0;0.0;0.02040816326530612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013605442176870748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07482993197278912;0.0;0.0;0.04081632653061224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07482993197278912;0.0;0.0;0.0;0.0;0.006802721088435374;0.006802721088435374;0.0;0.0;0.0;0.006802721088435374;0.006802721088435374;0.0;0.006802721088435374;0.006802721088435374;0.0;0.0;0.0;0.0;0.006802721088435374;0.0;0.006802721088435374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013605442176870748;0.0;0.013605442176870748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013605442176870748;0.0;61
45;220;36;11;7;11;6.428571428571429;0.8;0.24444444444444444;1;0.666666666666667;4;2;3.2857142857142856;0.0;4.888888888888889;0.031818181818181815;0.0;0.08333333333333333;0.9166666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.38095238095238093;0.75;0.0;0.0;0.044444444444444446;0.022222222222222223;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06666666666666667;0.1111111111111111;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.17777777777777778;0.26666666666666666;0.08888888888888889;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044444444444444446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17777777777777778;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022222222222222223;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022222222222222223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
203;1052;130;43;24;42;8.458333333333334;0.6403940886699507;0.20689655172413793;1;1.5500000000000023;6;2;3.9166666666666665;0.03940886699507389;5.182266009852217;0.03326996197718631;0.0;0.08888888888888889;0.9111111111111111;0.0;0.0;0.0;0.022222222222222223;0.0;0.5263157894736842;0.0;0.15789473684210525;0.3684210526315789;0.15789473684210525;1.6666666666666667;0.4305555555555556;0.569620253164557;0.014778325123152709;0.0;0.12315270935960591;0.014778325123152709;0.0;0.014778325123152709;0.10837438423645321;0.0;0.0049261083743842365;0.0049261083743842365;0.009852216748768473;0.014778325123152709;0.009852216748768473;0.0;0.0;0.0;0.0;0.0049261083743842365;0.019704433497536946;0.03940886699507389;0.0;0.0;0.0;0.019704433497536946;0.0;0.0;0.0;0.0;0.0;0.0;0.06403940886699508;0.06403940886699508;0.014778325123152709;0.0;0.06896551724137931;0.0;0.054187192118226604;0.0;0.0;0.024630541871921183;0.09852216748768473;0.2955665024630542;0.09359605911330049;0.22167487684729065;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0049261083743842365;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054187192118226604;0.009852216748768473;0.0;0.054187192118226604;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.07881773399014778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009852216748768473;0.0;0.024630541871921183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0049261083743842365;0.0;0.0;0.0;0.0;0.0;56
140;718;99;21;13;26;10.76923076923077;0.7071428571428572;0.18571428571428572;5;4.777777777777778;6;2;4.083333333333333;0.02142857142857143;5.128571428571429;0.020891364902506964;0.5384615384615384;0.19047619047619047;0.7619047619047619;0.0;0.0;0.0;0.0;0.0;0.75;0.08333333333333333;0.08333333333333333;0.3333333333333333;0.4166666666666667;1.3125;0.7948717948717948;0.375;0.0;0.0;0.12857142857142856;0.02857142857142857;0.0;0.007142857142857143;0.08571428571428572;0.0;0.0;0.0;0.0;0.007142857142857143;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.007142857142857143;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.05714285714285714;0.014285714285714285;0.007142857142857143;0.03571428571428571;0.0;0.08571428571428572;0.0;0.0;0.04285714285714286;0.1357142857142857;0.3142857142857143;0.08571428571428572;0.15;0.0;0.0;0.0;0.0;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007142857142857143;0.0;0.0;0.0;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07857142857142857;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04285714285714286;0.0;0.0;0.0;0.0;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007142857142857143;0.0;0.007142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007142857142857143;0.0;0.0;0.0;0.014285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58
42;244;40;5;5;11;8.4;0.9523809523809523;0.2619047619047619;0;0.783333333333333;6;3;4.4;0.047619047619047616;5.809523809523809;0.020491803278688523;0.0;0.25;0.5;0.2;0.0;0.0;0.25;0.0;1.0;0.0;0.0;0.0;1.0;0.4444444444444444;0.4666666666666667;0.2222222222222222;0.0;0.0;0.047619047619047616;0.07142857142857142;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11904761904761904;0.047619047619047616;0.023809523809523808;0.0;0.09523809523809523;0.0;0.047619047619047616;0.0;0.0;0.023809523809523808;0.11904761904761904;0.40476190476190477;0.023809523809523808;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85
137;727;106;25;11;22;12.454545454545455;0.7737226277372263;0.16058394160583941;1;1.3888888888888933;7;2;4.545454545454546;0.06569343065693431;5.306569343065694;0.015130674002751032;0.09090909090909091;0.18518518518518517;0.7037037037037037;0.36363636363636365;0.0;0.0;0.0;0.0;0.5833333333333334;0.0;0.0;0.5;0.08333333333333333;1.9285714285714286;0.8484848484848485;0.5510204081632653;0.051094890510948905;0.0;0.043795620437956206;0.021897810218978103;0.0;0.014598540145985401;0.1386861313868613;0.0;0.0;0.021897810218978103;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.029197080291970802;0.043795620437956206;0.0072992700729927005;0.0;0.0;0.0072992700729927005;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.072992700729927;0.08029197080291971;0.0;0.0;0.029197080291970802;0.0;0.08759124087591241;0.0;0.0;0.058394160583941604;0.11678832116788321;0.27007299270072993;0.08759124087591241;0.19708029197080293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.014598540145985401;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06569343065693431;0.0;0.0;0.014598540145985401;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029197080291970802;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0;0.0072992700729927005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0072992700729927005;0.0072992700729927005;0.0;0.0;97
154;940;100;23;12;23;12.833333333333334;0.6493506493506493;0.14935064935064934;2;1.8166666666666642;6;3;4.583333333333333;0.012987012987012988;6.103896103896104;0.013829787234042552;0.0;0.13636363636363635;0.8636363636363636;0.08333333333333333;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.8333333333333334;0.8461538461538461;1.0;0.3548387096774194;0.0;0.0;0.025974025974025976;0.012987012987012988;0.0;0.006493506493506494;0.2662337662337662;0.0;0.0;0.006493506493506494;0.006493506493506494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012987012987012988;0.045454545454545456;0.0;0.0;0.0;0.01948051948051948;0.0;0.0;0.0;0.0;0.0;0.0;0.13636363636363635;0.01948051948051948;0.012987012987012988;0.01948051948051948;0.012987012987012988;0.0;0.05194805194805195;0.0;0.012987012987012988;0.006493506493506494;0.18181818181818182;0.3246753246753247;0.07792207792207792;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006493506493506494;0.0;0.006493506493506494;0.0;0.006493506493506494;0.012987012987012988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07792207792207792;0.0;0.0;0.06493506493506493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006493506493506494;0.0;0.0;0.0;0.012987012987012988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.045454545454545456;0.0;0.006493506493506494;0.0;0.0;0.0;0.006493506493506494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006493506493506494;0.012987012987012988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006493506493506494;0.0;0.012987012987012988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28
414;2250;238;60;19;58;21.789473684210527;0.5748792270531401;0.14009661835748793;6;6.509523809523806;9;4;6.368421052631579;0.043478260869565216;5.434782608695652;0.010222222222222223;0.0;0.22972972972972974;0.6621621621621622;0.6842105263157895;0.21621621621621623;0.0;0.05405405405405406;0.21621621621621623;0.5333333333333333;0.022222222222222223;0.022222222222222223;0.0;0.5333333333333333;1.1044776119402986;1.4210526315789473;0.5441176470588235;0.0;0.0;0.06038647342995169;0.033816425120772944;0.0;0.0024154589371980675;0.2318840579710145;0.0;0.0;0.0;0.0024154589371980675;0.0;0.0;0.0024154589371980675;0.0;0.0;0.00966183574879227;0.0;0.021739130434782608;0.03140096618357488;0.016908212560386472;0.0;0.007246376811594203;0.0;0.012077294685990338;0.0;0.0;0.0;0.0024154589371980675;0.0024154589371980675;0.0966183574879227;0.06763285024154589;0.01932367149758454;0.0;0.06521739130434782;0.0;0.0966183574879227;0.0;0.004830917874396135;0.033816425120772944;0.09903381642512077;0.21980676328502416;0.10869565217391304;0.178743961352657;0.0024154589371980675;0.0;0.0;0.0024154589371980675;0.004830917874396135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021739130434782608;0.0;0.0;0.0;0.012077294685990338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004830917874396135;0.0;0.0024154589371980675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028985507246376812;0.007246376811594203;0.0;0.026570048309178744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004830917874396135;0.0;0.0024154589371980675;0.0024154589371980675;0.007246376811594203;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.004830917874396135;0.0024154589371980675;0.0024154589371980675;0.0024154589371980675;0.0;0.0;0.0;0.0;0.007246376811594203;0.0024154589371980675;0.0;0.0;0.0;0.0;0.004830917874396135;0.0;0.00966183574879227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007246376811594203;0.0024154589371980675;0.0;0.0;0.0024154589371980675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75
65;367;52;15;7;14;9.285714285714286;0.8;0.2153846153846154;6;5.866666666666665;7;2;4.142857142857143;0.015384615384615385;5.6461538461538465;0.01907356948228883;0.0;0.0;1.0;0.0;0.07142857142857142;0.0;0.0;0.07142857142857142;0.625;0.0;0.375;0.0;0.625;1.5555555555555556;0.2857142857142857;0.4827586206896552;0.0;0.0;0.2153846153846154;0.03076923076923077;0.0;0.0;0.18461538461538463;0.0;0.015384615384615385;0.03076923076923077;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.046153846153846156;0.03076923076923077;0.0;0.06153846153846154;0.0;0.046153846153846156;0.0;0.0;0.03076923076923077;0.046153846153846156;0.3230769230769231;0.12307692307692308;0.2153846153846154;0.0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12307692307692308;0.0;0.0;0.06153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015384615384615385;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80
